Dragen Version           Size (MB)  Install Date         Path
4.4.4                    846.30     2025-07-22 00:16:45  /opt/dragen/4.4.4

Bitstream Version        Size (MB)  Install Date         Path
07.031.779 (0x18101306)  601.18     2025-07-22 00:16:36  /opt/bitstream/07.031.779

To remove a dragen version, call `yum remove` on its Path.
=== GENOME FILE STATS ===
666436 ConvSK_mind20_ibd.genome
=== HIGH_PIHAT_PAIRS ===
FID1 IID1 FID2 IID2 Z0 Z1 Z2 PI_HAT
37 08-11 453 08-123 0.3599 0.6401 0.0000 0.3200
37 08-11 499 08-701 0.6374 0.3626 0.0000 0.1813
37 08-11 550 20-05 0.3505 0.6495 0.0000 0.3248
37 08-11 840 08-25 0.3710 0.6290 0.0000 0.3145
37 08-11 862 08-495 0.5224 0.4776 0.0000 0.2388
37 08-11 1094 08-86 0.5218 0.4782 0.0000 0.2391
38 08-12 274 07-04d 0.3458 0.6542 0.0000 0.3271
38 08-12 453 08-123 0.3205 0.6795 0.0000 0.3397
38 08-12 499 08-701 0.5830 0.4170 0.0000 0.2085
38 08-12 550 20-05 0.3099 0.6901 0.0000 0.3451
38 08-12 840 08-25 0.3468 0.6532 0.0000 0.3266
38 08-12 862 08-495 0.4916 0.5084 0.0000 0.2542
38 08-12 1094 08-86 0.4598 0.5402 0.0000 0.2701
39 08-13 271 08-128 0.6624 0.3376 0.0000 0.1688
39 08-13 274 07-04d 0.3656 0.6344 0.0000 0.3172
39 08-13 453 08-123 0.3357 0.6643 0.0000 0.3321
39 08-13 499 08-701 0.5731 0.4269 0.0000 0.2134
39 08-13 550 20-05 0.3091 0.6909 0.0000 0.3455
39 08-13 840 08-25 0.3593 0.6407 0.0000 0.3204
39 08-13 862 08-495 0.4936 0.5064 0.0000 0.2532
39 08-13 1094 08-86 0.4500 0.5500 0.0000 0.2750
40 08-15 271 08-128 0.6931 0.3069 0.0000 0.1535
40 08-15 274 07-04d 0.3816 0.6184 0.0000 0.3092
40 08-15 453 08-123 0.3429 0.6571 0.0000 0.3285
40 08-15 499 08-701 0.6111 0.3889 0.0000 0.1944
40 08-15 550 20-05 0.3411 0.6589 0.0000 0.3294
40 08-15 840 08-25 0.3639 0.6361 0.0000 0.3181
40 08-15 862 08-495 0.4952 0.5048 0.0000 0.2524
40 08-15 1094 08-86 0.4372 0.5628 0.0000 0.2814
41 08-20 274 07-04d 0.3304 0.6696 0.0000 0.3348
41 08-20 453 08-123 0.3068 0.6932 0.0000 0.3466
41 08-20 499 08-701 0.5811 0.4189 0.0000 0.2095
41 08-20 550 20-05 0.2834 0.7166 0.0000 0.3583
41 08-20 840 08-25 0.3281 0.6719 0.0000 0.3359
41 08-20 862 08-495 0.4845 0.5155 0.0000 0.2578
41 08-20 1094 08-86 0.4770 0.5230 0.0000 0.2615
42 08-131 168 08-493 0.2238 0.4731 0.3030 0.5396
42 08-131 274 07-04d 0.3577 0.6423 0.0000 0.3212
42 08-131 381 08-131d 0.0000 0.0000 1.0000 1.0000
42 08-131 422 08-744 0.2238 0.4732 0.3030 0.5396
42 08-131 453 08-123 0.3276 0.6724 0.0000 0.3362
42 08-131 499 08-701 0.5987 0.4013 0.0000 0.2007
42 08-131 550 20-05 0.3335 0.6665 0.0000 0.3333
42 08-131 840 08-25 0.3578 0.6422 0.0000 0.3211
42 08-131 862 08-495 0.5103 0.4897 0.0000 0.2448
42 08-131 1094 08-86 0.4750 0.5250 0.0000 0.2625
43 08-133 274 07-04d 0.3428 0.6572 0.0000 0.3286
43 08-133 453 08-123 0.3214 0.6786 0.0000 0.3393
43 08-133 499 08-701 0.5614 0.4386 0.0000 0.2193
43 08-133 550 20-05 0.3109 0.6891 0.0000 0.3445
43 08-133 840 08-25 0.3442 0.6558 0.0000 0.3279
43 08-133 862 08-495 0.4842 0.5158 0.0000 0.2579
43 08-133 1094 08-86 0.4716 0.5284 0.0000 0.2642
44 08-144 274 07-04d 0.3406 0.6594 0.0000 0.3297
44 08-144 453 08-123 0.3160 0.6840 0.0000 0.3420
44 08-144 499 08-701 0.5860 0.4140 0.0000 0.2070
44 08-144 550 20-05 0.2893 0.7107 0.0000 0.3553
44 08-144 840 08-25 0.3343 0.6657 0.0000 0.3329
44 08-144 862 08-495 0.4838 0.5162 0.0000 0.2581
44 08-144 1094 08-86 0.4794 0.5206 0.0000 0.2603
45 08-149 274 07-04d 0.3487 0.6513 0.0000 0.3257
45 08-149 453 08-123 0.3234 0.6766 0.0000 0.3383
45 08-149 499 08-701 0.5902 0.4098 0.0000 0.2049
45 08-149 550 20-05 0.3259 0.6741 0.0000 0.3370
45 08-149 840 08-25 0.3335 0.6665 0.0000 0.3332
45 08-149 862 08-495 0.4856 0.5144 0.0000 0.2572
45 08-149 1094 08-86 0.4744 0.5256 0.0000 0.2628
46 08-06 271 08-128 0.6398 0.3602 0.0000 0.1801
46 08-06 274 07-04d 0.3541 0.6459 0.0000 0.3230
46 08-06 453 08-123 0.3383 0.6617 0.0000 0.3309
46 08-06 499 08-701 0.5920 0.4080 0.0000 0.2040
46 08-06 550 20-05 0.3052 0.6948 0.0000 0.3474
46 08-06 840 08-25 0.3483 0.6517 0.0000 0.3258
46 08-06 862 08-495 0.5057 0.4943 0.0000 0.2471
46 08-06 1094 08-86 0.4600 0.5400 0.0000 0.2700
47 08-140 271 08-128 0.6992 0.3008 0.0000 0.1504
47 08-140 274 07-04d 0.3390 0.6610 0.0000 0.3305
47 08-140 453 08-123 0.3119 0.6881 0.0000 0.3440
47 08-140 499 08-701 0.5997 0.4003 0.0000 0.2002
47 08-140 550 20-05 0.3102 0.6898 0.0000 0.3449
47 08-140 840 08-25 0.3545 0.6455 0.0000 0.3227
47 08-140 862 08-495 0.4850 0.5150 0.0000 0.2575
47 08-140 1094 08-86 0.4633 0.5367 0.0000 0.2684
48 01-13 274 07-04d 0.3722 0.6278 0.0000 0.3139
